story_id,data_postagem,hora_postagem_sp,status,idade_horas_ultima_coleta,alcance,visualizacoes,interacoes,saidas,respostas,compartilhamentos,deslizou_frente,toque_voltar,toque_avancar,link,ultima_atualizacao_utc
18463169695184784,2026-08-22,11:51:34,final,21.4,15,18,1,5,0,0,,3,8,https://www.instagram.com/stories/entregestores/3969407719332733343,2026-08-23T12:19:45Z
18133997233628363,2026-08-22,10:17:09,final,21.0,19,29,2,6,0,0,1,2,15,https://www.instagram.com/stories/entregestores/3969360255406520286,2026-08-23T10:19:23Z
17904350661477080,2026-08-22,10:06:07,final,21.2,23,29,1,3,0,0,4,1,15,https://www.instagram.com/stories/entregestores/3969354705914104487,2026-08-23T10:19:23Z
17898337905595633,2026-08-24,08:42:01,final,22.6,32,41,4,3,0,0,4,,24,https://www.instagram.com/stories/entregestores/3970761893933630096,2026-08-25T10:20:33Z
18117492655899328,2026-08-24,11:26:25,final,21.9,29,43,0,6,0,0,3,3,24,https://www.instagram.com/stories/entregestores/3970844619343220170,2026-08-25T12:22:10Z
18201273640375229,2026-08-24,11:20:50,final,22.0,29,36,1,3,0,0,2,1,24,https://www.instagram.com/stories/entregestores/3970841845588431372,2026-08-25T12:22:10Z
18066749339727666,2026-08-24,17:18:33,final,24.0,26,41,1,3,0,0,2,6,21,https://www.instagram.com/stories/entregestores/3971021849390574457,2026-08-25T20:21:31Z
18423346507196716,2026-08-25,10:50:02,parcial,10.5,17,21,1,2,0,0,2,2,15,https://www.instagram.com/stories/entregestores/3971551076568840249,2026-08-26T00:20:43Z
18091824686136142,2026-08-25,10:44:54,parcial,10.6,18,21,2,,0,0,1,2,15,https://www.instagram.com/stories/entregestores/3971548574958425698,2026-08-26T00:20:43Z
17923184895418186,2026-08-25,10:22:29,parcial,11.0,20,30,1,2,0,0,4,4,14,https://www.instagram.com/stories/entregestores/3971537264144388130,2026-08-26T00:20:43Z
18380193151225540,2026-08-25,09:11:27,parcial,12.2,21,30,0,4,0,0,,4,20,https://www.instagram.com/stories/entregestores/3971501470012673671,2026-08-26T00:20:43Z
18173036071451636,2026-08-25,08:36:24,parcial,12.7,23,30,0,3,0,0,,1,24,https://www.instagram.com/stories/entregestores/3971483816304287208,2026-08-26T00:20:43Z
18104242435903389,2026-08-25,08:19:14,parcial,13.0,23,28,3,4,0,0,1,,20,https://www.instagram.com/stories/entregestores/3971475171575029912,2026-08-26T00:20:43Z
17978175897091533,2026-08-25,21:14:54,parcial,0.1,0,0,0,,0,0,,,,https://www.instagram.com/stories/entregestores/3971865652127031080,2026-08-26T00:20:43Z
